"Lead","Khách hàng tiềm năng",""
"Deal","Cơ hội bán hàng",""
"Contact","Liên hệ",""
"Organization","Tổ chức / Doanh nghiệp",""
"Call Log","Lịch sử cuộc gọi",""
"Task","Công việc",""
"Dashboard","Bảng điều khiển",""
"CRM","Quản lý khách hàng",""
"Create","Tạo mới",""
"Save","Lưu",""
"Edit","Chỉnh sửa",""
"Delete","Xóa",""
"Cancel","Hủy",""
"Notes","Ghi chú",""
"Email","Hộp thư",""
"Phone","Số điện thoại",""
"Name","Họ và tên",""
"First Name","Tên",""
"Last Name","Họ",""
"Status","Trạng thái",""
"Assigned To","Người phụ trách",""
"Next Contact Date","Ngày liên hệ tiếp theo",""
"Expected Revenue","Doanh thu dự kiến",""
"Probability","Tỷ lệ thành công",""
"Lost Reason","Lý do thất bại",""
"Won","Thành công",""
"Lost","Thất bại",""
"Open","Mở",""
"Qualified","Đủ điều kiện",""
"Unqualified","Không đủ điều kiện",""
"Pipeline","Quy trình bán hàng",""
"Amount","Số tiền",""
"Currency","Tiền tệ",""
"Activities","Hoạt động",""
"Comments","Bình luận",""
"Timeline","Dòng thời gian",""
"Settings","Cài đặt",""
"Profile","Hồ sơ",""
"Log Out","Đăng xuất",""
"Incoming","Gọi đến",""
"Outgoing","Gọi đi",""
"Receiver","Người nhận",""
"Backlog","Tồn đọng",""
"Todo","Cần làm",""
"In Progress","Đang xử lý",""
"Done","Hoàn thành",""
"Canceled","Đã hủy",""
